 ,sec,FRED,GCaMP8s
1,0.000,6.762,301.915
2,1800.000,6.774,294.728
3,3600.000,6.777,285.395
4,5400.000,6.760,274.990
5,7200.000,6.762,264.048
6,9000.000,6.776,251.908
7,10800.000,6.779,240.293
8,12600.000,6.772,228.066
9,14400.000,6.781,215.918
10,16200.000,6.787,206.842
11,18000.000,6.767,200.677
12,19800.000,6.768,197.506
13,21600.000,6.775,194.746
14,23400.000,6.758,192.989
15,25200.000,6.761,191.774
16,27000.000,6.761,190.831
17,28800.000,6.756,189.275
18,30600.000,6.748,189.222
19,32400.000,6.765,188.012
20,34200.000,6.738,187.692
21,36000.000,6.735,187.402
22,37800.000,6.736,187.202
23,39600.000,6.715,187.184
24,41400.000,6.720,186.619
25,43200.000,6.724,185.845
26,45000.000,6.702,186.110
27,46800.000,6.698,186.098
28,48600.000,6.703,187.058
29,50400.000,6.692,187.859
30,52200.000,6.683,188.425
31,54000.000,6.690,190.359
32,55800.000,6.677,193.001
33,57600.000,6.670,197.668
34,59400.000,6.692,206.273
35,61200.000,6.658,214.458
36,63000.000,6.660,224.617
37,64800.000,6.671,233.214
38,66600.000,6.638,243.000
39,68400.000,6.642,251.590
40,70200.000,6.624,259.144
41,72000.000,6.607,265.552
42,73800.000,6.605,273.610
43,75600.000,6.612,280.261
44,77400.000,6.592,287.854
45,79200.000,6.589,291.479
46,81000.000,6.598,295.617
47,82800.000,6.579,295.452
48,84600.000,6.582,293.208
49,86400.000,6.579,289.532
50,88200.000,6.570,284.018
51,90000.000,6.572,275.251
52,91800.000,6.578,266.503
53,93600.000,6.560,256.426
54,95400.000,6.552,243.897
55,97200.000,6.559,232.031
56,99000.000,6.563,218.521
57,100800.000,6.553,207.665
58,102600.000,6.596,197.264
59,104400.000,6.592,190.930
60,106200.000,6.556,187.085
61,108000.000,6.559,183.824
62,109800.000,6.555,181.966
63,111600.000,6.557,179.949
64,113400.000,6.551,178.969
65,115200.000,6.550,177.996
66,117000.000,6.528,178.104
67,118800.000,6.531,177.178
68,120600.000,6.516,177.111
69,122400.000,6.522,176.508
70,124200.000,6.520,176.111
71,126000.000,6.510,175.832
72,127800.000,6.497,176.038
73,129600.000,6.498,175.861
74,131400.000,6.489,175.472
75,133200.000,6.485,176.082
76,135000.000,6.488,176.786
77,136800.000,6.481,176.933
78,138600.000,6.471,177.932
79,140400.000,6.490,179.413
80,142200.000,6.456,181.679
81,144000.000,6.464,185.949
82,145800.000,6.471,194.354
83,147600.000,6.457,199.495
84,149400.000,6.445,207.633
85,151200.000,6.451,218.130
86,153000.000,6.429,225.517
87,154800.000,6.436,234.417
88,156600.000,6.429,241.679
89,158400.000,6.392,248.568
90,160200.000,6.385,256.723
91,162000.000,6.397,261.033
92,163800.000,6.380,268.300
93,165600.000,6.372,272.154
94,167400.000,6.384,276.953
95,169200.000,6.374,281.299
96,171000.000,6.364,279.864
97,172800.000,6.375,280.211
98,174600.000,6.356,274.406
99,176400.000,6.344,268.637
100,178200.000,6.361,261.476
101,180000.000,6.364,251.941
102,181800.000,6.349,241.485
103,183600.000,6.363,229.436
104,185400.000,6.343,217.658
105,187200.000,6.337,203.829
106,189000.000,6.330,192.911
107,190800.000,6.344,186.235
108,192600.000,6.343,181.483
109,194400.000,6.348,177.329
110,196200.000,6.351,175.373
111,198000.000,6.325,173.870
112,199800.000,6.354,172.553
113,201600.000,6.333,171.099
114,203400.000,6.327,170.928
115,205200.000,6.333,170.077
116,207000.000,6.317,170.238
117,208800.000,6.317,169.181
118,210600.000,6.309,169.165
119,212400.000,6.303,169.582
120,214200.000,6.288,168.382
121,216000.000,6.312,169.494
122,217800.000,6.293,169.333
123,219600.000,6.277,169.998
124,221400.000,6.295,169.926
125,223200.000,6.269,170.695
126,225000.000,6.267,171.377
127,226800.000,6.272,172.934
128,228600.000,6.253,173.866
129,230400.000,6.252,176.876
130,232200.000,6.265,182.393
131,234000.000,6.244,188.448
132,235800.000,6.246,195.988
133,237600.000,6.260,205.287
134,239400.000,6.236,212.675
135,241200.000,6.240,219.593
136,243000.000,6.221,226.818
137,244800.000,6.216,233.815
138,246600.000,6.211,241.595
139,248400.000,6.214,245.235
140,250200.000,6.196,252.713
141,252000.000,6.181,257.952
142,253800.000,6.192,264.463
143,255600.000,6.198,266.141
144,257400.000,6.179,269.165
