 ,X,Y
1,2.500,2.500
2,7.500,2.500
3,12.500,2.500
4,17.500,2.500
5,22.500,2.500
6,27.500,2.500
7,32.500,2.500
8,37.500,2.500
9,42.500,2.500
10,47.500,2.500
11,52.500,2.500
12,57.500,2.500
13,62.500,2.500
14,67.500,2.500
15,72.500,2.500
16,77.500,2.500
17,82.500,2.500
18,87.500,2.500
19,92.500,2.500
20,97.500,2.500
21,102.500,2.500
22,107.500,2.500
23,112.500,2.500
24,117.500,2.500
25,122.500,2.500
26,127.500,2.500
27,132.500,2.500
28,137.500,2.500
29,142.500,2.500
30,147.500,2.500
31,152.500,2.500
32,157.500,2.500
33,162.500,2.500
34,167.500,2.500
35,172.500,2.500
36,177.500,2.500
37,180.500,2.500
38,2.500,7.500
39,7.500,7.500
40,12.500,7.500
41,17.500,7.500
42,22.500,7.500
43,27.500,7.500
44,32.500,7.500
45,37.500,7.500
46,42.500,7.500
47,47.500,7.500
48,52.500,7.500
49,57.500,7.500
50,62.500,7.500
51,67.500,7.500
52,72.500,7.500
53,77.500,7.500
54,82.500,7.500
55,87.500,7.500
56,92.500,7.500
57,97.500,7.500
58,102.500,7.500
59,107.500,7.500
60,112.500,7.500
61,117.500,7.500
62,122.500,7.500
63,127.500,7.500
64,132.500,7.500
65,137.500,7.500
66,142.500,7.500
67,147.500,7.500
68,152.500,7.500
69,157.500,7.500
70,162.500,7.500
71,167.500,7.500
72,172.500,7.500
73,177.500,7.500
74,180.500,7.500
75,2.500,12.500
76,7.500,12.500
77,12.500,12.500
78,17.500,12.500
79,22.500,12.500
80,27.500,12.500
81,32.500,12.500
82,37.500,12.500
83,42.500,12.500
84,47.500,12.500
85,52.500,12.500
86,57.500,12.500
87,62.500,12.500
88,67.500,12.500
89,72.500,12.500
90,77.500,12.500
91,82.500,12.500
92,87.500,12.500
93,92.500,12.500
94,97.500,12.500
95,102.500,12.500
96,107.500,12.500
97,112.500,12.500
98,117.500,12.500
99,122.500,12.500
100,127.500,12.500
101,132.500,12.500
102,137.500,12.500
103,142.500,12.500
104,147.500,12.500
105,152.500,12.500
106,157.500,12.500
107,162.500,12.500
108,167.500,12.500
109,172.500,12.500
110,177.500,12.500
111,180.500,12.500
112,2.500,17.500
113,7.500,17.500
114,12.500,17.500
115,17.500,17.500
116,22.500,17.500
117,27.500,17.500
118,32.500,17.500
119,37.500,17.500
120,42.500,17.500
121,47.500,17.500
122,52.500,17.500
123,57.500,17.500
124,62.500,17.500
125,67.500,17.500
126,72.500,17.500
